,Request Number,Docket Record Name,Organization Name, Grant Amount , Amount (Fund-Coding) ,Budget Area/Strategy/Portfolio,Grant Purpose,Award Date,Fund Name,Award Year,Department
,19-07833,19-07833 - Borealis Philanthropy,Borealis Philanthropy,"$200,000.00","$200,000.00",Sector Effectiveness/Invest in Leadership/Leadership Development,"To support the second round of the REACH Fund, a funder collaborative seeking to advance racial equity and inclusion in the nonprofit sector",10/1/2019,Grants,2019,SectorEffect
,19-07997,"19-07997 - Institute for Nonprofit Practice, Inc.","Institute for Nonprofit Practice, Inc.","$200,000.00","$200,000.00",Sector Effectiveness/Support the Philanthropic and Nonprofit Sector/Targeted Support,"To support the development and piloting of a diversity, equity, and inclusion (DEI) curriculum for organizational development consultants, in partnership with TSNE MissionWorks",7/26/2019,Grants,2019,SectorEffect
,19-07728,19-07728 - Trustees of Reservations,Trustees of Reservations,"$200,000.00","$200,000.00",Waterfront - Special Initiatives/Waterfront,"to develop signature, equitable, and climate-resilient parks on the Boston waterfront",2/28/2019,Grants,2019,Waterfront
,19-07890,"19-07890 - The Friends of the East Boston Greenway, Inc.","The Friends of the East Boston Greenway, Inc.","$200,000.00","$200,000.00",Waterfront - Special Initiatives/Waterfront,to support The Friends of the East Boston Greenway,7/1/2019,Grants,2019,Waterfront
,19-07889,"19-07889 - The American City Coalition, Inc.","The American City Coalition, Inc.","$200,000.00","$200,000.00",Waterfront - Special Initiatives/Waterfront,to support efforts to connect Roxbury and North Dorchester residents with the Boston waterfront,7/1/2019,Grants,2019,Waterfront
,20-08766,"20-08766 - Rose Fitzgerald Kennedy Greenway Conservancy, Inc.","Rose Fitzgerald Kennedy Greenway Conservancy, Inc.","$200,000.00","$200,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To provide general operating support,12/2/2020,Grants,2020,Arts
,20-08483,"20-08483 - Environmental Defense Fund, Inc.","Environmental Defense Fund, Inc.","$200,000.00","$200,000.00",Climate/Clean Energy/Support National and Local Networks,to provide general operating support,6/30/2020,Grants,2020,Climate
,20-08584,20-08584 - The Nature Conservancy,The Nature Conservancy,"$200,000.00","$200,000.00",Climate/Clean Energy/Support National and Local Networks,To advance decarbonization in New England,6/30/2020,Grants,2020,Climate
,20-08722,"20-08722 - Connecticut Roundtable on Climate and Jobs, Inc.","Connecticut Roundtable on Climate and Jobs, Inc.","$200,000.00","$200,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,to provide general operating support,6/30/2020,Grants,2020,Climate
,19-08402,19-08402 - Climate Advocacy Lab,Climate Advocacy Lab,"$200,000.00","$200,000.00",Climate/Clean Energy/Support National and Local Networks,To provide training and support to clean energy and climate organizations in New England,5/29/2020,Grants,2020,Climate
,20-09045,"20-09045 - Young Men's Christian Association, Greater Boston","Young Men's Christian Association, Greater Boston","$200,000.00","$200,000.00",Education/Building Public Will,To support the Boston Community Learning Collaborative,11/30/2020,Grants,2020,Education
,20-08943,"20-08943 - UP Education Network, Inc.","UP Education Network, Inc.","$200,000.00","$200,000.00",Education/Invest In Educators,To provide an exit grant to support general operations,11/30/2020,Grants,2020,Education
,20-08889,"20-08889 - Massachusetts Business Alliance for Education, Inc.","Massachusetts Business Alliance for Education, Inc.","$200,000.00","$200,000.00",Education/Building Public Will,To create and disseminate a Database of School District Plans for Continuity of Learning during COVID-19 School Disruptions in 2020-2021 School Year,8/31/2020,Grants,2020,Education
,20-08887,"20-08887 - Massachusetts Communities Action Network, Inc.","Massachusetts Communities Action Network, Inc.","$200,000.00","$200,000.00",Education/Building Public Will,To support continued advocacy for equitable access to high-quality vocational technical education in Massachusetts,9/29/2020,Grants,2020,Education
,20-08798,20-08798 - Holyoke Public Schools,Holyoke Public Schools,"$200,000.00","$200,000.00",Education/Invest In Educators,To support advanced strategic planning for Strengthening School Leadership and a pilot partnership to support school leader development,7/28/2020,Grants,2020,Education
,20-08962,"20-08962 - Educators for Excellence, Inc.","Educators for Excellence, Inc.","$200,000.00","$200,000.00",Education/Invest In Educators,"To provide core support for Educators for Excellence, Connecticut Chapter",11/30/2020,Grants,2020,Education
,20-08701,20-08701 - Boston Adult Technical Academy,Boston Adult Technical Academy,"$200,000.00","$200,000.00",Education/New Models,"To support the pilot and continued planning year for Boston Adult Technical Academy (BATA), as part of Cohort 3 in the Engage New England initiative",5/29/2020,Grants,2020,Education
,19-08308,19-08308 - Nonprofit Finance Fund,Nonprofit Finance Fund,"$200,000.00","$200,000.00",Sector Effectiveness/Support the Philanthropic and Nonprofit Sector,To provide general operating support,4/30/2020,Grants,2020,SectorEffect
,20-08973,20-08973 - City of Boston,City of Boston,"$200,000.00","$200,000.00",Special Initiatives/Unassigned,To support planning and implementation capacity for the City of Boston's Office of Equity,10/29/2020,Grants,2020,SpecialInit
,20-08803,20-08803 - Boston Ujima Project,Boston Ujima Project,"$200,000.00","$200,000.00",Special Initiatives/COVID-19 Response Fund,To provide core support for its Boston Ujima Project,7/10/2020,Grants,2020,SpecialInit
,20-08816,"20-08816 - Martin Luther King Jr. Family Services, Inc.","Martin Luther King Jr. Family Services, Inc.","$200,000.00","$200,000.00",Special Initiatives/COVID-19 Response Fund,To provide general operating support,7/10/2020,Grants,2020,SpecialInit
,20-08635,"20-08635 - Inquilinos Boricuas en Accion, Inc.","Inquilinos Boricuas en Accion, Inc.","$200,000.00","$200,000.00",Special Initiatives/COVID-19 Response Fund,to provide general operating support,4/16/2020,Grants,2020,SpecialInit
,20-08633,"20-08633 - Boston Chinatown Neighborhood Center, Inc.","Boston Chinatown Neighborhood Center, Inc.","$200,000.00","$200,000.00",Special Initiatives/COVID-19 Response Fund,to provide general operating support,4/16/2020,Grants,2020,SpecialInit
,20-08637,"20-08637 - Sociedad Latina, Inc.","Sociedad Latina, Inc.","$200,000.00","$200,000.00",Special Initiatives/COVID-19 Response Fund,to provide general operating support,4/16/2020,Grants,2020,SpecialInit
,20-08639,20-08639 - Greater Boston Immigrant Defense Fund,Greater Boston Immigrant Defense Fund,"$200,000.00","$200,000.00",Special Initiatives/COVID-19 Response Fund,To provide core support for its Greater Boston Immigrant Defense Fund program,4/16/2020,Grants,2020,SpecialInit
,21-09246,"21-09246 - Boston Foundation, Inc.","Boston Foundation, Inc.","$200,000.00","$200,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,"Amendment to Grant #19-07999 to support relief grants to 2020 grantees, 10 additional Live Arts Boston 2021 grants, and TA supports from Dunamis",3/31/2021,Grants,2021,Arts
,20-09073,"20-09073 - The Record Company, Inc.","The Record Company, Inc.","$200,000.00","$200,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To support construction costs and start-up of a new facility,1/6/2021,Grants,2021,Arts
,21-09749,21-09749 - Community Foundation of Western Massachusetts,Community Foundation of Western Massachusetts,"$200,000.00","$200,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,"to support organizational coaching, training, and HR-related racial equity work",11/30/2021,Grants,2021,Arts
,21-09437,"21-09437 - Chinatown Community Land Trust, Inc.","Chinatown Community Land Trust, Inc.","$200,000.00","$200,000.00",Climate/Climate (Top Level),To support the creation of a community microgrid in the Chinatown neighborhood of Boston,6/30/2021,Grants,2021,Climate
,21-09334,"21-09334 - Environmental Defense Fund, Inc.","Environmental Defense Fund, Inc.","$200,000.00","$200,000.00",Climate/Clean Energy/Support National and Local Networks,To partner with community-based organizations to advocate for environmental justice provisions in energy regulatory processes,6/30/2021,Grants,2021,Climate
,20-09118,"20-09118 - Charles River Watershed Association, Inc.","Charles River Watershed Association, Inc.","$200,000.00","$200,000.00",Climate/Climate Resilience/Integrate Resilience Into the Fabric of Cities,To increase the climate resilience of the Charles River Watershed,6/30/2021,Grants,2021,Climate
,20-09032,"20-09032 - Mothers Out Front, Inc.","Mothers Out Front, Inc.","$200,000.00","$200,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,To support building a movement of mothers in the region working for clean energy and climate action,2/24/2021,Grants,2021,Climate
,20-09041,"20-09041 - New England Grassroots Environment Fund, Inc.","New England Grassroots Environment Fund, Inc.","$200,000.00","$200,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,To support grassroots engagement that promotes clean energy deployment in New England,3/31/2021,Grants,2021,Climate
,21-09381,21-09381 - Lowell Public Schools,Lowell Public Schools,"$200,000.00","$200,000.00",Education/New Models,To support the next steps to operationalize the Portrait of a Graduate,10/26/2021,Grants,2021,Education
,21-09532,"21-09532 - Teach for America, Inc.","Teach for America, Inc.","$200,000.00","$200,000.00",Education/Invest In Educators,To support Teach for America's Connecticut region,7/28/2021,Grants,2021,Education
,21-09348,"21-09348 - LearnLaunch, Inc.","LearnLaunch, Inc.","$200,000.00","$200,000.00",Education/New Models,"To support general operations of LearnLaunch, Inc.",4/27/2021,Grants,2021,Education
,21-09622,21-09622 - ConnectED: The National Center for College and Career,ConnectED: The National Center for College and Career,"$200,000.00","$200,000.00",Education/New Models,To continue to support curriculum development and technical assistance at Holyoke High School,8/31/2021,Grants,2021,Education
,21-09299,21-09299 - Massachusetts Department of Elementary and Secondary Education,Massachusetts Department of Elementary and Secondary Education,"$200,000.00","$200,000.00",Education/Invest In Educators,To support Influence 100,4/27/2021,Grants,2021,Education
,21-09358,21-09358 - Relay Graduate School of Education,Relay Graduate School of Education,"$200,000.00","$200,000.00",Education/Invest In Educators,To provide continued support for the ?ÄòFollow the Leaders?Äô project,5/19/2021,Grants,2021,Education
,21-09795,21-09795 - The Clayton Christensen Institute For Disruptive Innovation,The Clayton Christensen Institute For Disruptive Innovation,"$200,000.00","$200,000.00",Education/New Models,To support research on increasing students' social capital,11/30/2021,Grants,2021,Education
,21-09522,"21-09522 - Margarita Muñiz Academy Foundation, Inc.","Margarita Muñiz Academy Foundation, Inc.","$200,000.00","$200,000.00",Education/New Models,To advance the Portrait of a Graduate action plan,6/30/2021,Grants,2021,Education
,21-09672,21-09672 - President and Fellows of Harvard College,President and Fellows of Harvard College,"$200,000.00","$200,000.00",Education/New Models,To support the launch of the Institute for Success Planning,11/30/2021,Grants,2021,Education
,21-09723,"21-09723 - Boston Green Academy Foundation, Inc.","Boston Green Academy Foundation, Inc.","$200,000.00","$200,000.00",Education/New Models,To support the transformation of instruction,10/26/2021,Grants,2021,Education
,21-09493,21-09493 - Parents Leading for Educational Equity,Parents Leading for Educational Equity,"$200,000.00","$200,000.00",Education/Building Public Will,To support general operations,6/30/2021,Grants,2021,Education
,21-09586,21-09586 - He Is Me Institute,He Is Me Institute,"$200,000.00","$200,000.00",Education/Invest In Educators,To support general operations,8/31/2021,Grants,2021,Education
,21-09499,"21-09499 - The Friends of the East Boston Greenway, Inc.","The Friends of the East Boston Greenway, Inc.","$200,000.00","$200,000.00",Waterfront - Special Initiatives/Waterfront,"to provide core support for its Friends of the East Boston Greenway, aka The Friends of the Mary Ellen Welch Greenway program",9/1/2021,Grants,2021,Waterfront
,22-34692,"22-34692 - Mystic River Watershed Association, Inc.","Mystic River Watershed Association, Inc.","$200,000.00","$200,000.00",Climate/Climate (Top Level),To support the Professionals of Color in the Environment network in Massachusetts,3/29/2022,Grants,2022,Climate
,22-35064,"22-35064 - Browning the Green Space, Inc.","Browning the Green Space, Inc.","$200,000.00","$200,000.00",Climate/Clean Energy,To support Browning the Green Space?s ACCEL startup incubator program and its organizational strategic planning,6/27/2022,Grants,2022,Climate
